Name,Alt Name,Year,Genre,Duration,Moviemeter Rank,Moviemeter Rating
Oppenheimer, ,2023,"Biography, Drama",180 minutes,131,"3,86"
Da Hong Deng Long Gao Gao Gua,Raise the Red Lantern,1991,Drama,125 minutes,132,"3,86"
Le Samouraï,The Godson,1967,"Crime, Thriller",105 minutes,133,"3,86"
Le Salaire de la Peur,The Wages of Fear,1953,"Thriller, Adventure",153 minutes,134,"3,86"
The Big Lebowski, ,1998,Comedy,117 minutes,135,"3,85"
A Beautiful Mind, ,2001,"Biography, Drama",135 minutes,136,"3,85"
The Bourne Ultimatum, ,2007,"Thriller, Action",115 minutes,137,"3,85"
The Notebook, ,2004,"Drama, Romance",123 minutes,138,"3,85"
Magnolia, ,1999,Drama,188 minutes,139,"3,85"
Changeling, ,2008,"Drama, Mystery",140 minutes,140,"3,85"
Aliens, ,1986,"Scifi, Action",137 minutes,141,"3,85"
Bin-jip,3-Iron,2004,"Drama, Romance",88 minutes,142,"3,85"
Mononoke-Hime,Princess Mononoke,1997,"Animation, Fantasy",134 minutes,143,"3,85"
La Vie d'Adèle,Blue Is the Warmest Color,2013,"Drama, Romance",180 minutes,144,"3,85"
Paths of Glory, ,1957,"War, Drama",88 minutes,145,"3,85"
Temple Grandin, ,2010,"Biography, Drama",107 minutes,146,"3,85"
Yedinci Kogustaki Mucize,Miracle in Cell No. 7,2019,Drama,132 minutes,147,"3,85"
The Stoning of Soraya M., ,2008,Drama,114 minutes,148,"3,85"
Höstsonaten,Herfstsonate,1978,Drama,99 minutes,149,"3,85"
The Godfather: Part III,"The Godfather, Coda: The Death of Michael Corleone",1990,"Crime, Drama",162 minutes,150,"3,84"
Toy Story 3, ,2010,"Animation, Comedy",103 minutes,151,"3,84"
Män Som Hatar Kvinnor,Millennium: Mannen Die Vrouwen Haten,2009,"Thriller, Mystery",152 minutes,152,"3,84"
Papillon, ,1973,"Adventure, Drama",151 minutes,153,"3,84"
Stalker,Сталкер,1979,"Mystery, Scifi",163 minutes,154,"3,84"
Efter Brylluppet,After the Wedding,2006,Drama,120 minutes,155,"3,84"
The Third Man,The 3rd Man,1949,"Filmnoir, Thriller",104 minutes,156,"3,84"
